model,scenario_id,total_turns,scenario_type,recall,ccr
RAG,hold-out-U020,500,UPDATE_CONFLICT,0.0,0.987
RAG,hold-out-U021,1000,UPDATE_CONFLICT,0.0,0.993
RAG,hold-out-U022,1000,UPDATE_CONFLICT,0.0,0.993
RAG,hold-out-U023,1000,UPDATE_CONFLICT,0.0,0.993
RAG,hold-out-U024,1000,UPDATE_CONFLICT,0.0,0.993
EpSem,hold-out-F001,200,FORGETTING,1.0,0.714
EpSem,hold-out-F002,200,FORGETTING,1.0,0.682
EpSem,hold-out-F003,200,FORGETTING,0.8,0.768
EpSem,hold-out-F004,200,FORGETTING,0.6153846153846154,0.707
EpSem,hold-out-F005,500,FORGETTING,1.0,0.835
EpSem,hold-out-F006,500,FORGETTING,1.0,0.81
EpSem,hold-out-F007,500,FORGETTING,1.0,0.857
EpSem,hold-out-F008,500,FORGETTING,0.9230769230769231,0.853
EpSem,hold-out-F009,1000,FORGETTING,0.6923076923076923,0.886
EpSem,hold-out-F010,1000,FORGETTING,0.9230769230769231,0.908
EpSem,hold-out-F011,1000,FORGETTING,1.0,0.873
EpSem,hold-out-F012,1000,FORGETTING,1.0,0.881
EpSem,hold-out-N001,200,NOISE_TOLERANCE,1.0,0.705
EpSem,hold-out-N002,200,NOISE_TOLERANCE,1.0,0.69
EpSem,hold-out-N003,200,NOISE_TOLERANCE,0.875,0.711
EpSem,hold-out-N004,200,NOISE_TOLERANCE,0.625,0.791
EpSem,hold-out-N005,500,NOISE_TOLERANCE,0.875,0.854
EpSem,hold-out-N006,500,NOISE_TOLERANCE,1.0,0.843
EpSem,hold-out-N007,500,NOISE_TOLERANCE,1.0,0.855
EpSem,hold-out-N008,500,NOISE_TOLERANCE,0.75,0.91
EpSem,hold-out-N009,1000,NOISE_TOLERANCE,0.75,0.88
EpSem,hold-out-N010,1000,NOISE_TOLERANCE,0.875,0.896
EpSem,hold-out-N011,1000,NOISE_TOLERANCE,0.875,0.903
EpSem,hold-out-N012,1000,NOISE_TOLERANCE,1.0,0.941
EpSem,hold-out-U001,200,UPDATE_CONFLICT,1.0,0.721
EpSem,hold-out-U002,200,UPDATE_CONFLICT,0.875,0.736
EpSem,hold-out-U003,200,UPDATE_CONFLICT,0.75,0.735
EpSem,hold-out-U004,200,UPDATE_CONFLICT,0.6153846153846154,0.69
EpSem,hold-out-U005,500,UPDATE_CONFLICT,0.875,0.852
EpSem,hold-out-U006,500,UPDATE_CONFLICT,0.9230769230769231,0.823
EpSem,hold-out-U007,500,UPDATE_CONFLICT,0.9230769230769231,0.809
EpSem,hold-out-U008,500,UPDATE_CONFLICT,0.875,0.856
EpSem,hold-out-U009,1000,UPDATE_CONFLICT,0.6153846153846154,0.885
EpSem,hold-out-U010,1000,UPDATE_CONFLICT,0.9230769230769231,0.859
EpSem,hold-out-U011,1000,UPDATE_CONFLICT,1.0,0.876
EpSem,hold-out-U012,1000,UPDATE_CONFLICT,0.625,0.903
EpSem,hold-out-F013,200,FORGETTING,0.875,0.738
EpSem,hold-out-F014,200,FORGETTING,1.0,0.75
EpSem,hold-out-F015,200,FORGETTING,0.9230769230769231,0.665
EpSem,hold-out-F016,200,FORGETTING,0.625,0.74
EpSem,hold-out-F017,500,FORGETTING,1.0,0.882
EpSem,hold-out-F018,500,FORGETTING,1.0,0.823
EpSem,hold-out-F019,500,FORGETTING,0.8,0.832
EpSem,hold-out-F020,500,FORGETTING,0.875,0.851
EpSem,hold-out-F021,1000,FORGETTING,0.75,0.902
EpSem,hold-out-F022,1000,FORGETTING,0.95,0.9
EpSem,hold-out-F023,1000,FORGETTING,1.0,0.899
EpSem,hold-out-F024,1000,FORGETTING,0.9230769230769231,0.874
EpSem,hold-out-N013,200,NOISE_TOLERANCE,1.0,0.719
EpSem,hold-out-N014,200,NOISE_TOLERANCE,1.0,0.732
EpSem,hold-out-N015,200,NOISE_TOLERANCE,0.875,0.764
EpSem,hold-out-N016,200,NOISE_TOLERANCE,0.75,0.784
EpSem,hold-out-N017,500,NOISE_TOLERANCE,0.875,0.86
EpSem,hold-out-N018,500,NOISE_TOLERANCE,0.875,0.835
EpSem,hold-out-N019,500,NOISE_TOLERANCE,1.0,0.861
EpSem,hold-out-N020,500,NOISE_TOLERANCE,0.875,0.902
EpSem,hold-out-N021,1000,NOISE_TOLERANCE,0.625,0.89
EpSem,hold-out-N022,1000,NOISE_TOLERANCE,0.875,0.9
EpSem,hold-out-N023,1000,NOISE_TOLERANCE,1.0,0.92
EpSem,hold-out-N024,1000,NOISE_TOLERANCE,1.0,0.936
EpSem,hold-out-U013,200,UPDATE_CONFLICT,1.0,0.732
EpSem,hold-out-U014,200,UPDATE_CONFLICT,1.0,0.71
EpSem,hold-out-U015,200,UPDATE_CONFLICT,0.8,0.76
EpSem,hold-out-U016,200,UPDATE_CONFLICT,0.6923076923076923,0.722
EpSem,hold-out-U017,500,UPDATE_CONFLICT,0.8,0.881
EpSem,hold-out-U018,500,UPDATE_CONFLICT,1.0,0.819
EpSem,hold-out-U019,500,UPDATE_CONFLICT,1.0,0.858
EpSem,hold-out-U020,500,UPDATE_CONFLICT,0.6,0.858
EpSem,hold-out-U021,1000,UPDATE_CONFLICT,0.75,0.889
EpSem,hold-out-U022,1000,UPDATE_CONFLICT,1.0,0.921
EpSem,hold-out-U023,1000,UPDATE_CONFLICT,0.9230769230769231,0.883
EpSem,hold-out-U024,1000,UPDATE_CONFLICT,0.875,0.885
EpSem-F,hold-out-F001,200,FORGETTING,1.0,0.866
EpSem-F,hold-out-F002,200,FORGETTING,1.0,0.822
EpSem-F,hold-out-F003,200,FORGETTING,0.8,0.92
EpSem-F,hold-out-F004,200,FORGETTING,0.6153846153846154,0.864
EpSem-F,hold-out-F005,500,FORGETTING,1.0,0.891
EpSem-F,hold-out-F006,500,FORGETTING,1.0,0.873
EpSem-F,hold-out-F007,500,FORGETTING,1.0,0.92
EpSem-F,hold-out-F008,500,FORGETTING,0.9230769230769231,0.912
EpSem-F,hold-out-F009,1000,FORGETTING,0.6923076923076923,0.918
EpSem-F,hold-out-F010,1000,FORGETTING,0.9230769230769231,0.941
EpSem-F,hold-out-F011,1000,FORGETTING,1.0,0.905
EpSem-F,hold-out-F012,1000,FORGETTING,1.0,0.913
EpSem-F,hold-out-N001,200,NOISE_TOLERANCE,1.0,0.858
EpSem-F,hold-out-N002,200,NOISE_TOLERANCE,1.0,0.849
EpSem-F,hold-out-N003,200,NOISE_TOLERANCE,0.875,0.86
EpSem-F,hold-out-N004,200,NOISE_TOLERANCE,0.625,0.941
EpSem-F,hold-out-N005,500,NOISE_TOLERANCE,0.875,0.912
EpSem-F,hold-out-N006,500,NOISE_TOLERANCE,1.0,0.908
EpSem-F,hold-out-N007,500,NOISE_TOLERANCE,1.0,0.918
EpSem-F,hold-out-N008,500,NOISE_TOLERANCE,0.75,0.969
EpSem-F,hold-out-N009,1000,NOISE_TOLERANCE,0.75,0.912
EpSem-F,hold-out-N010,1000,NOISE_TOLERANCE,0.875,0.927
